record_date,transaction_type,transaction_today_amt
2024-06-13,Deposits,269244
2024-06-13,Withdrawals,271433
2024-06-14,Deposits,52512
2024-06-14,Withdrawals,24235
2024-06-17,Deposits,231455
2024-06-17,Withdrawals,85150
2024-06-18,Deposits,222727
2024-06-18,Withdrawals,263180
2024-06-20,Deposits,231410
2024-06-20,Withdrawals,241819
2024-06-21,Deposits,25347
2024-06-21,Withdrawals,33673
2024-06-24,Deposits,39713
2024-06-24,Withdrawals,18710
2024-06-25,Deposits,222120
2024-06-25,Withdrawals,239309
2024-06-26,Deposits,22170
2024-06-26,Withdrawals,45210
2024-06-27,Deposits,212950
2024-06-27,Withdrawals,238539
2024-06-28,Deposits,75594
2024-06-28,Withdrawals,16410
