record_date,transaction_type,transaction_today_amt
2025-01-09,Deposits,258238
2025-01-09,Withdrawals,255047
2025-01-10,Deposits,17005
2025-01-10,Withdrawals,9153
2025-01-13,Deposits,38632
2025-01-13,Withdrawals,22862
2025-01-14,Deposits,279197
2025-01-14,Withdrawals,254999
2025-01-15,Deposits,209529
2025-01-15,Withdrawals,229888
2025-01-16,Deposits,282910
2025-01-16,Withdrawals,256907
2025-01-17,Deposits,17480
2025-01-17,Withdrawals,21313
2025-01-21,Deposits,287576
2025-01-21,Withdrawals,256059
2025-01-22,Deposits,17147
2025-01-22,Withdrawals,56532
2025-01-23,Deposits,397101
2025-01-23,Withdrawals,302541
2025-01-24,Deposits,25322
2025-01-24,Withdrawals,16379
2025-01-27,Deposits,42085
2025-01-27,Withdrawals,13615
2025-01-28,Deposits,264125
2025-01-28,Withdrawals,248139
2025-01-29,Deposits,24035
2025-01-29,Withdrawals,25927
2025-01-30,Deposits,269394
2025-01-30,Withdrawals,254991
2025-01-31,Deposits,286447
2025-01-31,Withdrawals,319371
2025-02-03,Deposits,66062
2025-02-03,Withdrawals,59084
2025-02-04,Deposits,269811
2025-02-04,Withdrawals,253649
2025-02-05,Deposits,19276
2025-02-05,Withdrawals,17492
2025-02-06,Deposits,261453
2025-02-06,Withdrawals,249080
2025-02-07,Deposits,14411
2025-02-07,Withdrawals,18985
2025-02-10,Deposits,30901
2025-02-10,Withdrawals,18844
2025-02-11,Deposits,263149
2025-02-11,Withdrawals,258770
2025-02-12,Deposits,17486
2025-02-12,Withdrawals,50514
2025-02-13,Deposits,262321
2025-02-13,Withdrawals,262137
2025-02-14,Deposits,19114
2025-02-14,Withdrawals,26367
2025-02-18,Deposits,461477
2025-02-18,Withdrawals,489745
2025-02-19,Deposits,13475
2025-02-19,Withdrawals,48361
2025-02-20,Deposits,313243
2025-02-20,Withdrawals,324296
2025-02-21,Deposits,15455
2025-02-21,Withdrawals,29691
2025-02-24,Deposits,34418
2025-02-24,Withdrawals,41001
2025-02-25,Deposits,246546
